@relation nba_no_ws
@attribute stats.totals.pts.value integer
@attribute stats.totals.ast.value integer
@attribute stats.totals.trb.value integer
@attribute stats.per_game.pts_per_g.value real
@attribute stats.per_game.ast_per_g.value real
@attribute stats.per_game.trb_per_g.value real
@attribute stats.advanced.per.value real
@attribute honors.allstar_appearances integer
@attribute honors.championships integer
@attribute honors.mvpshares integer
@attribute hall_of_fame {True, False}
@data
4215,211,1872,9.2,0.5,4.1,14.4,0,0,0,False
425,42,314,3.4,0.3,2.5,10.0,0,0,0,False
9895,2140,5589,13.0,2.8,7.3,15.9,1,0,0.001,False
11782,2572,12357,9.4,2.1,9.9,13.9,2,3,0.01,False
6477,1292,1670,9.6,1.9,2.5,11.5,0,0,0,False
10498,2315,3758,17.4,3.8,6.2,17.2,4,3,0,True
6265,1875,2017,8.6,2.6,2.8,13.1,0,3,0,False
372,60,357,3.2,0.5,3.0,12.4,0,0,0,False
30026,5176,10525,24.2,4.2,8.5,23.6,16,3,1.407,True
11644,2414,3271,19.1,4.0,5.4,15.7,1,0,0.001,False
1519,375,602,6.1,1.5,2.4,11.2,0,0,0,False
1019,333,384,6.8,2.2,2.6,14.1,0,0,0,False
1355,377,418,8.4,2.3,2.6,12.5,0,0,0,False
12455,1264,5404,17.7,1.8,7.7,16.4,1,0,0.001,False
8683,959,3243,18.1,2.0,6.8,15.1,1,0,0,False
970,386,224,5.6,2.2,1.3,6.2,0,0,0,False
13398,3541,9326,11.8,3.1,8.2,17.7,1,0,0,False
173,18,107,1.7,0.2,1.0,5.4,0,0,0,False
5971,920,971,11.9,1.8,1.9,13.0,0,0,0,False
5033,1631,4371,5.1,1.6,4.4,10.4,0,0,0,False
19181,4805,3279,18.6,4.7,3.2,16.7,5,1,0,True
6088,3136,1494,9.4,4.8,2.3,12.8,0,1,0,False
1974,118,1023,9.7,0.6,5.0,12.8,0,0,0,False
1410,315,1312,5.7,1.3,5.3,11.4,0,0,0,False
2171,639,575,9.1,2.7,2.4,9.4,0,0,0,False
3131,1147,1098,5.2,1.9,1.8,12.0,0,0,0,False
7813,923,4999,11.6,1.4,7.4,14.7,0,0,0,False
6652,3881,1526,11.1,6.5,2.5,14.4,0,0,0,False
254,58,163,2.4,0.6,1.6,9.8,0,0,0,False
436,38,291,4.2,0.4,2.8,8.8,0,0,0,False
9041,1017,6755,10.0,1.1,7.5,14.1,1,0,0,False
1967,1410,819,5.5,3.9,2.3,12.0,0,0,0,False
649,47,205,5.5,0.4,1.8,11.9,0,1,0,False
1488,304,516,5.2,1.1,1.8,9.2,0,0,0,False
2199,442,1726,6.9,1.4,5.4,11.5,0,0,0,False
6666,957,5187,9.8,1.4,7.6,13.4,0,2,0,False
20941,2544,14241,20.1,2.4,13.7,19.8,4,0,0.002,True
3161,657,4602,7.6,1.6,11.0,10.8,1,0,0,False
3948,616,3360,6.0,0.9,5.1,11.5,0,0,0,False
2222,220,2351,4.4,0.4,4.6,13.8,0,0,0,False
12954,1672,6701,17.2,2.2,8.9,17.0,5,1,0,False
2167,886,580,7.8,3.2,2.1,13.1,0,0,0,False
5118,806,3546,9.2,1.4,6.3,13.5,0,0,0,False
189,20,228,1.8,0.2,2.2,13.1,0,0,0,False
7712,3394,2269,9.2,4.0,2.7,16.3,0,0,0.003,False
3397,487,2354,6.9,1.0,4.8,11.0,0,0,0,False
4166,1376,1420,5.6,1.9,1.9,10.0,0,0,0,False
4141,1962,817,6.9,3.3,1.4,11.7,0,1,0,False
1262,192,551,5.2,0.8,2.3,10.3,0,0,0,False
4380,2509,684,8.8,5.1,1.4,12.7,0,0,0,False
17111,1541,8675,20.3,1.8,10.3,19.1,5,1,0.114,False
575,327,179,4.6,2.6,1.4,10.5,0,0,0,False
6203,3146,2445,7.4,3.7,2.9,12.4,0,1,0,False
3614,703,2126,7.4,1.4,4.4,11.7,0,0,0,False
1688,248,1493,3.8,0.6,3.3,10.4,0,0,0,False
1195,424,248,8.0,2.8,1.7,9.3,0,0,0,False
423,182,75,2.9,1.2,0.5,11.6,0,0,0,False
472,68,186,3.5,0.5,1.4,8.0,0,0,0,False
